Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,The University of Queensland,Introduction to Social Psychology,Introductory,0,English,0.0,79365,Self-paced on your time,Humanities,99
EDX,Columbia University,Artificial Intelligence (AI),Advanced,0,English,0.0,265104,Instructor-led on a course schedule,Computer Science,249
EDX,Harvard University,American Government: Constitutional Foundations,Introductory,0,English,0.0,35504,Self-paced on your time,Social Sciences,49
EDX,Universitat Politècnica de Valencia,Introducción a la inversión bursátil,Introductory,0,Español,0.0,64261,Self-paced on your time,Economics & Finance,50
EDX,Harvard University,Japanese Books: From Manuscript to Print,Introductory,0,English,0.0,17581,Self-paced on your time,Art & Culture,100
EDX,Massachusetts Institute of Technology,Foundations of Modern Finance  I,Advanced,0,English,0.0,24108,Instructor-led on a course schedule,Economics & Finance,450
EDX,Indian Institute of Management Bangalore,Operations Management,Intermediate,0,English,0.0,126093,Self-paced on your time,Business & Management,150
EDX,Indian Institute of Management Bangalore,Marketing Management,Intermediate,0,English,0.0,80010,Self-paced on your time,Business & Management,150
EDX,Universidad Nacional de Córdoba,Marketing enfocado en la estrategia de servicios,Introductory,0,Español,0.0,24618,Self-paced on your time,Business & Management,119
EDX,University of British Columbia,Introduction to Marketing,Introductory,0,English,0.0,169126,Self-paced on your time,Business & Management,150
EDX,IITBombay,Programming Basics,Introductory,0,English,0.0,215059,Self-paced on your time,Computer Science,149
EDX,"The University of California, San Diego",Probability and Statistics in Data Science using Python,Advanced,0,English,0.0,106286,Self-paced on your time,Data Analysis & Statistics,350
EDX,The World Wide Web Consortium (W3C),HTML5 Coding Essentials and Best Practices,Intermediate,0,English,0.0,241287,Self-paced on your time,Computer Science,199
EDX,Harvard University,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,Introductory,0,English,0.0,37426,Self-paced on your time,Humanities,49
EDX,Harvard University,Cell Biology: Mitochondria,Introductory,0,English,0.0,64142,Self-paced on your time,Biology & Life Sciences,99
EDX,Stanford University,"Algorithms: Design and Analysis, Part 1",Intermediate,0,English,0.0,20163,Self-paced on your time,Computer Science,149
EDX,Universitat Politècnica de Valencia,Introducción al Office 365,Introductory,0,Español,0.0,16470,Self-paced on your time,Computer Science,75
EDX,Imperial College London,Creative Thinking: Techniques and Tools for Success,Introductory,0,English,0.0,54787,Self-paced on your time,Humanities,49
EDX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Technology,Intermediate,0,English,0.0,47451,Self-paced on your time,Language,50
EDX,Harvard University,Shakespeare's Hamlet: The Ghost,Introductory,0,English,0.0,38331,Self-paced on your time,Humanities,49
EDX,Universitat Politècnica de Valencia,FlashDiet: Aprende a comer sano,Introductory,0,Español,0.0,48105,Self-paced on your time,Food & Nutrition,50
EDX,Harvard University,CS50's Understanding Technology,Introductory,0,English,0.0,50030,Self-paced on your time,Computer Science,90
