Platform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject
edX,The University of Queensland,Introduction to Clinical Psychology,Beginner,99.0,English,4,57234,Self-paced on your time,Humanities
edX,Harvard University,Modern Masterpieces of World Literature,Beginner,99.0,English,3,48049,Self-paced on your time,Literature
edX,Harvard University,"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",Beginner,49.0,English,4,24259,Self-paced on your time,Social Sciences
edX,"The University of Maryland, College Park-University System of Maryland",Applied Scrum for Agile Project Management,Advanced,199.0,English,3,55293,Self-paced on your time,Engineering
edX,Indian Institute of Management Bangalore,Corporate Finance,Intermediate,150.0,English,5,62798,Self-paced on your time,Business & Management
edX,Harvard University,Judaism Through Its Scriptures,Beginner,99.0,English,4,50540,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,Excel avanzado: importación y análisis de datos,Advanced,75.0,Español,4,47184,Self-paced on your time,Data Analysis & Statistics
edX,The World Wide Web Consortium (W3C),CSS Basics,Beginner,199.0,English,4,95163,Self-paced on your time,Computer Science
edX,IsraelX-Tel Aviv University,Unlocking Information Security: Part I,Intermediate,149.0,English,4,19905,Self-paced on your time,Computer Science
edX,The University of Queensland,Becoming an Effective Leader,Intermediate,99.0,English,5,55937,Self-paced on your time,Communication
edX,Curtin University,Digital Branding and Engagement,Intermediate,99.0,English,2,122977,Self-paced on your time,Communication
edX,University of Washington,Introduction to Cybersecurity,Beginner,199.0,English,4,73021,Self-paced on your time,Computer Science
edX,Tsinghua University,General Academic English|生活英语进阶,Beginner,49.0,English,3,17526,Self-paced on your time,Language
edX,Universidad Nacional de Córdoba,Gestión de personas: Recursos Humanos,Beginner,119.0,Español,4,19687,Self-paced on your time,Business & Management
edX,University of Oxford,From Poverty to Prosperity: Understanding Economic Development,Intermediate,149.0,English,3,91062,Self-paced on your time,Social Sciences
edX,Doane University,Medical Terminology,Beginner,79.0,English,4,31354,Self-paced on your time,Biology & Life Sciences
