Plataform,Title,Level,Price,Language,Rating,is_paid,n_Students,num_reviews,num_lectures,Subject,Ventas
Udemy,How to Create Your Personal Budget,All Levels,20,English,0.0,True,3870,53,10,Business Finance,77400
Udemy,The Complete Value Investing Course: A Proven Approach,All Levels,200,English,0.0,True,2146,212,49,Business Finance,429200
Udemy,FOREX Trading with Price Action,Beginner Level,195,English,0.0,True,484,57,19,Business Finance,94380
Udemy,Emini ES Futures - Advanced Non Directional Options Trading,All Levels,200,English,0.0,True,1057,15,14,Business Finance,211400
Udemy,Forex Trading - Advanced Fundamental Analysis,Intermediate Level,20,English,0.0,True,1754,100,49,Business Finance,35080
Udemy,How To Invest With Tiny Capital In Stocks ?,Beginner Level,20,English,0.0,True,1239,5,6,Business Finance,24780
Udemy,Learn How To Successfully Trade Stocks: In 5 Simple Steps,All Levels,95,English,0.0,True,2493,276,108,Business Finance,236835
Udemy,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Beginner Level,150,English,0.0,True,2602,402,57,Business Finance,390300
Udemy,Intermediate Options trading concepts for Stocks and Options,All Levels,40,English,0.0,True,2000,30,9,Business Finance,80000
Udemy,Options Trading 101: The Basics,Beginner Level,0,English,0.0,False,1514,66,11,Business Finance,0
Udemy,Practical Accounts APP Overview,Intermediate Level,20,English,0.0,True,1361,1,14,Business Finance,27220
Udemy,Bitcoin Profits for Beginners,Beginner Level,100,English,0.0,True,61,18,30,Business Finance,6100
Udemy,Trend Traders Club: How To Find And Trade Fast Moving Trends,All Levels,75,English,0.0,True,1513,31,60,Business Finance,113475
Udemy,Financial Statements Basics,Beginner Level,20,English,0.0,True,1374,19,9,Business Finance,27480
Udemy,High performance Stock Trading using key Options techniques,All Levels,40,English,0.0,True,2103,15,6,Business Finance,84120
Udemy,Introduction to Financial Statement Analysis,Beginner Level,20,English,0.0,True,1480,25,25,Business Finance,29600
Udemy,Basics of Economics (College Level),All Levels,25,English,0.0,True,2516,12,20,Business Finance,62900
Udemy,Stock Market Investing for Beginners,Beginner Level,0,English,0.0,False,50855,2698,15,Business Finance,0
Udemy,Accounting for Beginners : Learn Basics in under 1 Hour,Beginner Level,50,English,0.0,True,1971,13,20,Business Finance,98550
Udemy,Straddle Options Trading - Profit in Any Market Direction,All Levels,200,English,0.0,True,837,9,19,Business Finance,167400
Udemy,Fundamentals of Forex Trading,All Levels,0,English,0.0,False,17160,620,23,Business Finance,0
Udemy,"Binary Options: Trading Strategies, 90% Accuracy and Signals",Beginner Level,195,English,0.0,True,1723,38,24,Business Finance,335985
Udemy,Website Investing 101 - Buying & Selling Online Businesses,All Levels,0,English,0.0,False,6811,151,51,Business Finance,0
Udemy,Practical Accounts & Bookkeeping Automated Overview ,All Levels,20,English,0.0,True,2060,17,30,Business Finance,41200
Udemy,Live Account - ETF Trading System - Hacking The Stock Market,All Levels,150,English,0.0,True,2318,19,16,Business Finance,347700
Udemy,Stock Market Leverage: How to Start Trading Options Wisely,Beginner Level,95,English,0.0,True,2153,14,13,Business Finance,204535
Udemy,Stock Market Foundations,Beginner Level,0,English,0.0,False,19339,794,9,Business Finance,0
Udemy,Crash Course on Working Capital Management,All Levels,20,English,0.0,True,3177,8,8,Business Finance,63540
Udemy,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,All Levels,150,English,0.0,True,1535,16,462,Business Finance,230250
Udemy,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,All Levels,20,English,0.0,True,1027,29,25,Business Finance,20540
Udemy,How to create a routine Trading,All Levels,25,English,0.0,True,307,8,5,Business Finance,7675
Udemy,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",All Levels,150,English,0.0,True,2096,48,29,Business Finance,314400
Udemy,Forex SOS Course: Trading Tweaks And Working Forex Strategy,Beginner Level,50,English,0.0,True,1315,48,59,Business Finance,65750
Udemy,Introduction to Financial Modeling,Intermediate Level,0,English,0.0,False,29167,1463,8,Business Finance,0
Udemy,Quantitative Aptitude for Banking & Competitive Examinations,All Levels,50,English,0.0,True,1056,1,42,Business Finance,52800
Udemy,Option Spreads and Credit Spreads Bundle,Expert Level,180,English,0.0,True,2212,194,24,Business Finance,398160
Udemy,B Com Accountancy I (Paper ECO 02 IGNOU),All Levels,50,English,0.0,True,2946,6,284,Business Finance,147300
Udemy,FOREX TRADING - Learn in a quick + profitable way + support,All Levels,100,English,0.0,True,271,48,47,Business Finance,27100
Udemy,Auditing Basics (Professional Course Level),All Levels,25,English,0.0,True,3771,10,35,Business Finance,94275
Udemy,Stock market Investing Encyclopedia: How to invest in stocks,Intermediate Level,200,English,0.0,True,3143,11,39,Business Finance,628600
Udemy,Learn the basics of preparing accounting statements,Intermediate Level,20,English,0.0,True,1951,30,20,Business Finance,39020
