Plataform,course_id,Institution,Title,Level,Price,Language,Rating
Coursera,supply-chain-principles,Georgia Institute of Technology,Supply Chain Principles,Unknown,0,English,4.77
Coursera,gcp-infrastructure-core-services,Google Cloud,Essential Google Cloud Infrastructure: Core Services,Unknown,0,French,4.38
Coursera,weight-management-beyond-balancing-calories,Emory University,Weight Management: Beyond Balancing Calories,Unknown,0,English,4.57
Coursera,human-language,Universiteit Leiden,Miracles of Human Language: An Introduction to Linguistics,Unknown,0,English,4.68
Coursera,java-programming,Duke University,Java Programming: Solving Problems with Software,Unknown,0,English,2.27
Coursera,race-cultural-diversity-american-life,University of Illinois at Urbana-Champaign,Race and Cultural Diversity in American Life and History,Unknown,0,English,5.0
Coursera,motivate-people-teams,University of Michigan,Inspiring and Motivating Individuals,Unknown,0,English,4.47
Coursera,competencias-digitales-ofimatica,Universitat Autònoma de Barcelona,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Unknown,0,English,4.84
Coursera,healing-with-the-arts,University of Florida,Healing with the Arts,Unknown,0,English,4.57
Coursera,wharton-people-analytics,University of Pennsylvania,People Analytics,Unknown,0,English,4.3
Coursera,what-is-social,Northwestern University,What is Social?,Unknown,0,English,4.38
Coursera,ux-design-fundamentals,California Institute of the Arts,UX Design Fundamentals,Unknown,0,English,4.42
Coursera,creative-thinking-techniques-and-tools-for-success,Imperial College London,Creative Thinking: Techniques and Tools for Success,Unknown,0,English,4.96
Coursera,introclassicalmusic,Yale University,Introduction to Classical Music,Unknown,0,English,4.89
Coursera,childrens-rights,University of Geneva,Children's Human Rights - An Interdisciplinary Introduction,Unknown,0,English,4.67
Coursera,investment-management,HEC Paris,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,Unknown,0,English,4.18
Coursera,excel-data-analysis,Rice University,Introduction to Data Analysis Using Excel,Unknown,0,English,3.48
Coursera,manage-health-covid-19,University of Toronto,Mind Control: Managing Your Mental Health During COVID-19,Unknown,0,English,4.63
Coursera,international-criminal-law,Case Western Reserve University,Introduction to International Criminal Law,Unknown,0,English,5.0
Coursera,wharton-fintech-overview-payments-regulations,University of Pennsylvania,"FinTech: Foundations, Payments, and Regulations",Unknown,0,English,2.0
Coursera,mythology,University of Pennsylvania,Greek and Roman Mythology,Unknown,0,English,4.74
Coursera,global-energy,Sciences Po,Politics and Economics of International Energy,Unknown,0,English,4.83
Coursera,english-principles,Arizona State University,Teach English Now! Foundational Principles,Unknown,0,English,4.73
Coursera,business-model,HEC Paris,Business Model Innovation,Unknown,0,English,5.0
Coursera,introtoux-principles-and-processes,University of Michigan,Introduction to User Experience Principles and Processes,Unknown,0,English,4.45
Coursera,beyond-the-sustainable-development-goals-addressing-sustainability-and-development,University of Michigan,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Unknown,0,English,4.0
Coursera,process-mining,Eindhoven University of Technology,Process Mining: Data science in Action,Unknown,0,English,4.1
Coursera,immunologyfundamentalsimmunitybcells,Rice University,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Unknown,0,English,4.45
Coursera,wharton-finance,University of Pennsylvania,Introduction to Corporate Finance,Unknown,0,English,4.33
Coursera,global-diplomacy-un,University of London,Global Diplomacy: the United Nations in the World,Unknown,0,English,4.28
Coursera,algorithmic-toolbox,University of California San Diego,Algorithmic Toolbox,Unknown,0,English,4.63
Coursera,troubles-spectre-autisme-diagnostic,University of Geneva,Troubles du spectre de l'autisme : diagnostic,Unknown,0,French,5.0
